id,non-commonsense-statement,sentence1,sentence2,sentence3,label
8400,أرتدي الصنادل في الشتاء.,الشتاء بارد جدا لارتداء الصنادل.,يمكن للناس ارتداء الصنادل في المنزل في فصل الشتاء.,يمكن للناس شراء الصنادل في الشتاء.,0
8401,رجل يمشي على عشرة أرجل.,الرجل له ساقان فقط.,الأرجل تساعدنا على المشي.,الرجل له عشرة أصابع.,0
8402,اتصلت بإطفائي بعد أن أغمي عليها,رجل الإطفاء لا يفيد عندما يغمى عليه أحد,بعد أن أغمي عليها فكرت في رجل الإطفاء.,رجال الاطفاء يمكن أن يغمى عليهم أيضا.,0
8403,طيور البطريق تعيش في الهواء.,يمكنك رؤية طيور البطريق على الأرض عندما تكون في الهواء.,البطاريق لها أجنحة.,طيور البطريق لا تستطيع الطيران.,2
8404,جميع الفتيات مثل الرجال الوسيمين.,لقد شاهدت جميع الفتيات تقريبًا رجال وسيم.,هناك الكثير من الفتيات اللواتي لا يهتمن بالمظهر.,الرجال الوسيمون هم عادة أكثر شعبية بين الفتيات.,1
8405,أبدو أقصر في الكعب العالي.,ارتداء الكعب العالي ليس مريحًا.,ارتداء الكعب العالي سيزيد من الارتفاع.,أولئك الذين هم أقصر يرغبون في ارتداء الكعب العالي.,1
8406,يعض الذباب الناس.,لا تحتوي الملفات على أجزاء فم لدغة.,يكره الناس الذباب.,زحف الذبابة على التفاحة التي عضتها.,0
8407,يمكن للطلاب الغش في الامتحانات.,بعض الطلاب يريدون الغش في الامتحانات.,يحظر الغش في الامتحان أثناء الامتحان.,تسمح بعض الامتحانات للطلاب بإحضار ورقة غش.,1
8408,يمكن للأشخاص القيادة على الطريق بدون ترخيص.,يجب على الناس الحصول على رخصة قيادة.,يجب على الناس اجتياز امتحان للحصول على رخصة قيادة.,القيادة بدون رخصة مخالفة للقانون.,2
8409,أولئك الذين يعملون بجد من المؤكد أن ينجحوا.,ينجح بعض الناس الذين يعملون بجد.,الناس الذين يعملون بجد لديهم فرصة كبيرة للنجاح.,لا يمكن تحقيق النجاح بدون العمل الشاق.,1
8410,يستخدم جميع الأشخاص اليد اليمنى للكتابة.,ليست هناك حاجة لإجبار الناس على استخدام اليد اليمنى أو اليد اليسرى للكتابة.,بعض الناس يستخدمون اليد اليسرى للكتابة.,السعادة هي علامة على الطابع الجانبي.,1
8411,يمكن للموسيقى أن تجعل الناس متوترين.,هناك أنواع مختلفة من الموسيقى يمكن أن تجلب مشاعر مختلفة للناس.,يمكن للأشخاص العصبيين الاستماع إلى الموسيقى.,"بشكل عام ، الموسيقى هادئة بدلاً من التوتر.",2
8412,تقع الشمس في الشرق.,تسقط الشمس دائما.,تقع الشمس في الغرب.,يمكنك رؤية الشمس في الشرق.,1
8413,يمكننا رؤية الحيوانات في الحديقة النباتية.,هناك العديد من النباتات في الحديقة النباتية.,قد تكون الحديقة النباتية مكانًا جيدًا للحياة الحيوانية.,لا يوجد حيوان في الحديقة النباتية.,2
8414,يمكنك إنقاص الوزن عن طريق تناول الوجبات السريعة.,بعض الأطفال يحبون تناول الوجبات السريعة.,يمكن أن يجعلك الوجبات السريعة تزيد الوزن بدلًا من إنقاص الوزن.,حاولت إنقاص الوزن قبل تناول الوجبات السريعة.,1
8415,يمكنني لعب ألعاب الكمبيوتر في السينما.,لعب ألعاب الكمبيوتر قبل ذهابه إلى السينما.,دور السينما فقط لمشاهدة الأفلام.,يستمتع الكثير من الناس بمشاهدة الأفلام في السينما وممارسة ألعاب الكمبيوتر.,1
8416,يمكن للبشر الطيران.,البشر يريدون الطيران.,الطيور تستطيع الطيران.,البشر ليس لديهم أجنحة.,2
8417,"كلما لعبت أكثر ، كلما كانت درجاتك أفضل.",حقق بعض الطلاب توازنًا جيدًا بين تحقيق درجات جيدة واللعب.,اللعب ليس جيدًا بالنسبة لك لتحسين الدرجات.,"لا يحب الجميع الدراسة بجد ، لكنهم جميعًا يريدون درجات أفضل.",1
8418,يمكن أن يظهر السراب فقط في الصحراء.,تظهر السراب أحيانًا فوق البحر.,من الرائع رؤية سراب في الصحراء.,لقد رأى بعض الناس سرابًا يظهر في الصحراء.,0
8419,لعب ألعاب الكمبيوتر لفترة طويلة أمر جيد للصحة.,لعب ألعاب الكمبيوتر لفترة طويلة سيضيع وقتًا مفيدًا.,لعب ألعاب الكمبيوتر لفترة طويلة سيجعل نظرك أسوأ.,لعب ألعاب الكمبيوتر لفترة طويلة لا معنى له.,1
8420,يمكن أن تعيش الأسماك بدون ماء.,تتنفس الأسماك في الماء وسوف تموت بدون ماء.,هناك أنواع عديدة من الأسماك في الماء.,تبدو العديد من الأسماك جميلة في الماء.,0
8421,أنا أسمع الكتاب.,سمعت أن شخصًا ما كان يبيع الكتاب.,الكتاب غير سليم ولا يمكن سماعه.,سمع عن هذا الكتاب.,1
8422,تناول وجبة الإفطار أمر سيئ للصحة.,نحن نشجع على تناول وجبة فطور صحية.,تناول وجبة الإفطار يساعدنا على الحفاظ على صحتنا.,يعتقد أن الوجبات السريعة هي وجبة فطور سيئة.,1
8423,طعام الوجبات السريعة جيد لجسمنا.,الطعام غير المرغوب فيه يبيع جيدًا.,سيجعل الطعام غير المرغوب فيه الجسم من الدهون ويسبب الأمراض.,يمتص جسمنا بعض الأطعمة السريعة.,1
8424,كتابة الأوراق طريقة رائعة للاسترخاء.,عادة ما تكون كتابة الأوراق أمرًا مرهقًا.,من الأفضل الاسترخاء قبل كتابة الأوراق.,يستغرق جهدا لكتابة ورقة جيدة.,0
8425,يمكن للرجال أن يلدوا أطفالا.,تبدأ حياة الرجل من ولادة طفل.,الرجال ليس لديهم أعضاء للولادة.,الآباء يلدون أطفالهم.,1
8426,الضوء الكهربائي هو اكتشاف عظيم.,الضوء الكهربائي هو شيء جديد اخترعه الإنسان.,يتم اختراع الأضواء الكهربائية بعد اكتشاف بعض المواد المهمة.,اخترع اديسون الضوء الكهربائي.,0
